Month,Expected_Sensex,Lower_Band,Upper_Band
1,78221.96564914413,70191.478548675,86252.45274961327
2,79037.42469818328,70923.22027713899,87151.6291192276
3,79861.38485627975,71662.59036688338,88060.17934567612
4,80693.93474695826,72409.6683430925,88978.20115082402
5,81535.16391763817,73164.53455999568,89905.79327528068
6,82385.16284926508,73927.27020951,90843.05548902017
7,83244.02296604268,74697.95732997316,91790.08860211221
8,84111.83664526626,75476.67881496738,92746.99447556515
9,84988.69722725851,76263.51842223518,93713.87603228186
10,85874.69902540914,77058.56078268828,94690.83726813
11,86769.93733631894,77861.8914095103,95677.98326312758
12,87674.50845004979,78673.59670735442,96675.42019274518
